"","BF","direction","sample_size"
"1",11602.1392679467,3,80
"2",245670.343908438,3,80
"3",541.118268797188,3,80
"4",1037.87080964404,3,80
"5",1153.8009445912,3,80
"6",107.573976051871,3,80
"7",732688.213623929,3,80
"8",2.04233399772565,1,80
"9",140188.784970032,3,80
"10",3987.32577689673,3,80
"11",2.34255675013871,1,80
"12",42073.2492986423,3,80
"13",2.62357261077983,1,80
"14",8717.18356845045,3,80
"15",5635.3336002794,3,80
"16",11.9734606974971,3,80
"17",10.4495934354121,3,80
"18",3.56920386860607,3,80
"19",1.18976913655099,1,80
"20",0.327993510370867,4,80
"21",0.971030087087688,2,80
"22",0.0868506530307704,4,80
"23",0.00587380505929584,4,80
"24",2.16515819546029,1,80
"25",530653.246581346,3,80
"26",1008708.655492,3,80
"27",71761.7271183212,3,80
"28",120297343.736667,3,80
"29",729.129958788882,3,80
"30",2322150.66725288,3,80
"31",549614.032107039,3,80
"32",9.06123480401791,3,80
"33",427.933433154989,3,80
"34",0.0229160786941098,4,80
"35",1764.5142682755,3,80
"36",1108.13689328926,3,80
"37",1.26372687585832,1,80
"38",6.73868821061866,3,80
"39",926185.62597161,3,80
"40",7.63733595111732,3,80
"41",1.55392962743936,1,80
"42",1660128.17220106,3,80
"43",44773.0767284564,3,80
"44",3556.85448816861,3,80
"45",205.84659032778,3,80
"46",754.749755970007,3,80
"47",1065.71519464584,3,80
"48",2936.00155226629,3,80
"49",11945855512.2124,3,80
"50",6637.26192538796,3,80
"51",58355814.5741307,3,80
"52",6177.28958247884,3,80
"53",427.370293533488,3,80
"54",861401.510040081,3,80
"55",0.0551644351051878,4,80
"56",109.75427055568,3,80
"57",0.0685245426045735,4,80
"58",5973.70044091276,3,80
"59",18.1389627478353,3,80
"60",118036388.184799,3,80
"61",184.938683639759,3,80
"62",2720.76250765926,3,80
"63",101431308.766192,3,80
"64",1.35828878613886,1,80
"65",292543.224603714,3,80
"66",297899.24633079,3,80
"67",3665.54581328813,3,80
"68",19.9572273650276,3,80
"69",24788.1298629743,3,80
"70",569153.389715206,3,80
"71",311.667172613093,3,80
"72",113402.158245892,3,80
"73",3.30076169221034,3,80
"74",0.0263806374950444,4,80
"75",2963442.91001836,3,80
"76",21007.1617297654,3,80
"77",265.613237464108,3,80
"78",628.298915709544,3,80
"79",0.193839589275473,4,80
"80",38.9789465600229,3,80
"81",2943.71846360251,3,80
"82",1.34566533275269,1,80
"83",1028177.88168283,3,80
"84",40110.4937598553,3,80
"85",152480044.812167,3,80
"86",3436.43641667552,3,80
"87",1882299.94534172,3,80
"88",0.389640334631185,2,80
"89",3.64653097265062,3,80
"90",406303.126122909,3,80
"91",63248.3906361647,3,80
"92",1.15144866423574,1,80
"93",0.462458010644531,2,80
"94",1.9164713265884,1,80
"95",213503.078732091,3,80
"96",162399.963822428,3,80
"97",34.0020115360326,3,80
"98",54.165027327589,3,80
"99",612.568996788039,3,80
"100",139830.146238956,3,80
"101",192.751042942261,3,80
"102",0.374358145783016,2,80
"103",0.264125932976133,4,80
"104",2.83311609999466,1,80
"105",6.61832719307347,3,80
"106",0.0213184856806869,4,80
"107",239.879137924171,3,80
"108",121.676820712867,3,80
"109",55192.9702895311,3,80
"110",4.8398326797213,3,80
"111",151.922618092435,3,80
"112",2405424.4011473,3,80
"113",6082.57062167867,3,80
"114",204.362103622062,3,80
"115",76.5968722391649,3,80
"116",26.8425208096408,3,80
"117",23.3688392407034,3,80
"118",0.0605346092649555,4,80
"119",0.153724906865852,4,80
"120",7.4681166029816,3,80
"121",5571606.74014961,3,80
"122",2398.93382511083,3,80
"123",28198.2109309677,3,80
"124",2664.39671475041,3,80
"125",1441071.56957103,3,80
"126",6090.31930179798,3,80
"127",526394.203270914,3,80
"128",0.255412129556515,4,80
"129",0.283986215566359,4,80
"130",30762168.0326868,3,80
"131",69.0811662254234,3,80
"132",2162.87647930118,3,80
"133",1198.57923700205,3,80
"134",1653262.17865046,3,80
"135",1.47211307770436,1,80
"136",245.836244572047,3,80
"137",1381273268.77878,3,80
"138",815.199330990433,3,80
"139",13.1760446534736,3,80
"140",11.0269987559408,3,80
"141",3138.42573207263,3,80
"142",5.22241000178925,3,80
"143",2128.7080954555,3,80
"144",57.8036515433968,3,80
"145",39.7024865387539,3,80
"146",16.8176569300696,3,80
"147",0.996761308888017,2,80
"148",2357.42767204965,3,80
"149",1223.8446913952,3,80
"150",1352.08109216595,3,80
"151",1.95610255291433,1,80
"152",0.992448277584541,2,80
"153",55.5982332949397,3,80
"154",1970.75965930488,3,80
"155",92.8389660216203,3,80
"156",1.16930192004709,1,80
"157",25.4058460305442,3,80
"158",0.910444548075795,2,80
"159",2.5877528438602,1,80
"160",109284276.741356,3,80
"161",2.65321609729023,1,80
"162",24042235.4120117,3,80
"163",2502.38603613256,3,80
"164",7639706.79512089,3,80
"165",17142854.9141284,3,80
"166",2816.34129408612,3,80
"167",6.84066302636164,3,80
"168",18054813.6383513,3,80
"169",5951.71106124791,3,80
"170",44.461503158842,3,80
"171",5206.21518156879,3,80
"172",173.263181210416,3,80
"173",68.9855131274765,3,80
"174",77.6737089823484,3,80
"175",5.10347152073158,3,80
"176",3.50323468726825,3,80
"177",176661975.788568,3,80
"178",3627987.2859815,3,80
"179",384.379974834974,3,80
"180",0.142530400296534,4,80
"181",30953.7775575909,3,80
"182",20.6968471356656,3,80
"183",7.50782907998452,3,80
"184",0.0768486707684898,4,80
"185",0.0209129750618609,4,80
"186",86.0586540041854,3,80
"187",796.842646731606,3,80
"188",6.6303496607461,3,80
"189",88449.871567819,3,80
"190",1.05528898851722,1,80
"191",5.90608213488262,3,80
"192",10.8777185388394,3,80
"193",96.3666387839709,3,80
"194",55614.1331848627,3,80
"195",61639.6476654241,3,80
"196",288.694954807764,3,80
"197",0.675780023311147,2,80
"198",20.8893493940223,3,80
"199",34353.0539602735,3,80
"200",74750.2175851652,3,80
"201",1.25751571913937,1,80
"202",26.3590933285074,3,80
"203",855917.50956322,3,80
"204",1049773.89576061,3,80
"205",1.77591250419634,1,80
"206",43073.803683539,3,80
"207",13.5623298313232,3,80
"208",10318329.8114067,3,80
"209",19.2852226954942,3,80
"210",1.81834368198994,1,80
"211",31158.1506734638,3,80
"212",576119.079848848,3,80
"213",0.174002175511547,4,80
"214",10.0722241604858,3,80
"215",938676.248021916,3,80
"216",120.056841720286,3,80
"217",1.76590721681048,1,80
"218",0.267733451116325,4,80
"219",136.364719405209,3,80
"220",0.30337516359808,4,80
"221",370234.535751006,3,80
"222",0.161217216280133,4,80
"223",371.899943263099,3,80
"224",1184.18143730912,3,80
"225",1.23085145426579,1,80
"226",7.00202077275004,3,80
"227",17507.6982083715,3,80
"228",2743.09897555213,3,80
"229",2.87558705968579,1,80
"230",1287021.39777323,3,80
"231",0.412914355863535,2,80
"232",21.5707410813441,3,80
"233",552.077727228866,3,80
"234",7603.71117202177,3,80
"235",2.73594514912447,1,80
"236",53.5646202560355,3,80
"237",148475.48705271,3,80
"238",54.8054806804269,3,80
"239",21.9205370508352,3,80
"240",5.35665226822991,3,80
"241",612.077234100606,3,80
"242",12.1185682663457,3,80
"243",0.729459038606492,2,80
"244",2.93413426869175,1,80
"245",2852.01361947109,3,80
"246",3.47233170460554,3,80
"247",297961.128633132,3,80
"248",182.89921966779,3,80
"249",180.682198061197,3,80
"250",13689.4820421351,3,80
"251",974.261060539317,3,80
"252",22.355383343312,3,80
"253",6563.95536368203,3,80
"254",13900.1067461273,3,80
"255",8.65972892678316,3,80
"256",38892.4065619716,3,80
"257",86.0243771699386,3,80
"258",6547.05279672381,3,80
"259",146861.459921301,3,80
"260",102.062754067445,3,80
"261",1035.96500154978,3,80
"262",64466.3082664357,3,80
"263",0.644923238891725,2,80
"264",3229.57355653811,3,80
"265",0.389317733739432,2,80
"266",32461963140.9989,3,80
"267",326.778729370341,3,80
"268",1.94506852121982,1,80
"269",66412.0850689038,3,80
"270",28930.8147292286,3,80
"271",100.48172422899,3,80
"272",12530.7352376935,3,80
"273",0.62253148035625,2,80
"274",66.5199596877433,3,80
"275",5897185.9418737,3,80
"276",271445.915643087,3,80
"277",15763.1418379474,3,80
"278",0.29090018963939,4,80
"279",8.72716589982487,3,80
"280",1677.44433565025,3,80
"281",4050.21810391291,3,80
"282",3168.69119678086,3,80
"283",20001.9037694089,3,80
"284",6.76734274119987,3,80
"285",455.20482421836,3,80
"286",1085339.18646382,3,80
"287",188842.10169669,3,80
"288",842.060242259324,3,80
"289",521845.622317151,3,80
"290",12086.9135840766,3,80
"291",289.175484951568,3,80
"292",11288.0898663991,3,80
"293",342.586633919978,3,80
"294",1.08430586192858,1,80
"295",299.831433075871,3,80
"296",3.91173913297795,3,80
"297",1809.90645477585,3,80
"298",24.2259464568491,3,80
"299",45.6628618201697,3,80
"300",21.1659184742443,3,80
"301",1464148.48957814,3,80
"302",2.14182115537218,1,80
"303",22.920573879828,3,80
"304",2430934.43358797,3,80
"305",3.2716675821849,3,80
"306",9.89086887242951,3,80
"307",0.150964842982108,4,80
"308",623129.515465665,3,80
"309",0.252751786285846,4,80
"310",1032.38847121341,3,80
"311",0.523400178472699,2,80
"312",646.944215381151,3,80
"313",2.21202693002282,1,80
"314",15723.1753934886,3,80
"315",1446.70408518727,3,80
"316",23515.2954363176,3,80
"317",0.561514048013603,2,80
"318",5.63340411368143,3,80
"319",12080695.0176191,3,80
"320",0.723810990248338,2,80
"321",5.64347521013448,3,80
"322",973009.805520071,3,80
"323",254.008143929335,3,80
"324",75.3943958126804,3,80
"325",7043.3360203047,3,80
"326",3011.09961288694,3,80
"327",0.855520614946333,2,80
"328",8945.90059852289,3,80
"329",3.47710739236163,3,80
"330",134.67279860679,3,80
"331",6.09796549246625,3,80
"332",4148.59151507808,3,80
"333",0.074869664994336,4,80
"334",0.204053650067695,4,80
"335",28.7200308913962,3,80
"336",4.07376323340788,3,80
"337",4103.41494630738,3,80
"338",917.402207958211,3,80
"339",1481677.55326504,3,80
"340",6240175.27137299,3,80
"341",0.187606325045307,4,80
"342",29.0416626301563,3,80
